City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Puerto Ayora,EC,76.77,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
3,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
5,Hilo,US,79.29,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
7,Kalmunai,LK,82.44,light rain,7.4167,81.8167,VS Villa
8,Maturin,VE,75.24,clear sky,9.75,-63.1767,Hotel Residencial La Pichincha
9,Rikitea,PF,79.34,light rain,-23.1203,-134.9692,People ThankYou
12,Victoria,HK,83.17,few clouds,22.2855,114.1577,Mini Hotel Central
24,Butaritari,KI,81.9,broken clouds,3.0707,172.7902,Isles Sunset Lodge
31,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
34,Georgetown,MY,87.73,haze,5.4112,100.3354,Cititel Penang
39,Atuona,PF,79.41,light rain,-9.8,-139.0333,Villa Enata
48,Sainte-Suzanne,RE,77.47,light rain,-20.9061,55.6089,Gites Ango
55,Mecca,SA,78.76,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
62,Bandipur,NP,77.02,broken clouds,27.9333,84.4167,Bandipur Guest House
67,Arraial Do Cabo,BR,76.53,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
77,Kavaratti,IN,85.14,very heavy rain,10.5669,72.642,Hotels in Lakshadweep Islands
81,Bambous Virieux,MU,77.22,light rain,-20.3428,57.7575,Casa Tia Villa
84,Vaitape,PF,82.6,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
85,Whyalla,AU,78.96,few clouds,-33.0333,137.5833,Foreshore Motor Inn
86,Alofi,NU,84.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
88,San Patricio,US,76.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
90,Faanui,PF,82.58,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
93,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
96,George Town,MY,87.73,haze,5.4112,100.3354,Cititel Penang
97,Puerto El Triunfo,SV,82.72,overcast clouds,13.2833,-88.55,Hotel Jardin
98,Panaba,MX,77.11,clear sky,21.2833,-88.2667,Hotel California
99,Isangel,VU,86.11,few clouds,-19.55,169.2667,Tanna Lodge
100,Yeppoon,AU,85.78,few clouds,-23.1333,150.7333,Villa Mar Colina
103,Luanda,AO,76.46,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
104,Finschhafen,PG,85.64,broken clouds,-6.6024,147.8681,Cossam Guest House
105,Emerald,AU,87.35,scattered clouds,-23.5333,148.1667,The Irish Village
114,Grand Gaube,MU,77.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
118,Hithadhoo,MV,83.55,clear sky,-0.6,73.0833,Scoop Guest House
123,Road Town,VG,75.29,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
126,Touros,BR,77.86,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
127,Omboue,GA,76.68,light rain,-1.5746,9.2618,Hotel Olako
129,Port Blair,IN,86.04,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
131,Kieta,PG,85.35,light rain,-6.2167,155.6333,Uruna Bay Retreat
133,Tautira,PF,81.32,light rain,-17.7333,-149.15,Pension Oaoa
134,Neiafu,TO,86.68,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
135,Salalah,OM,79.83,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
138,Namibe,AO,75.49,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
139,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
144,Mahebourg,MU,77.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
146,Abu Zabad,SD,79.54,broken clouds,12.35,29.25,حامد محمد نور
147,Bengkulu,ID,83.61,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
155,Marawi,PH,76.46,broken clouds,7.9986,124.2928,Derogongan Residence
159,Vao,NC,75.6,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
162,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
174,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
180,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
181,Boa Vista,BR,80.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
182,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
184,Bilma,NE,81.77,clear sky,18.6853,12.9164,Expeditions Ténére voyages
193,Sao Joao Da Barra,BR,76.37,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
198,Arrah,IN,85.89,few clouds,25.5667,84.6667,Hotel The Regal- Arrah
200,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
205,Souillac,MU,76.89,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
208,Trairi,BR,77.09,scattered clouds,-3.2778,-39.2689,janelas do mar
209,Puerto Colombia,CO,80.69,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
211,Sarangani,PH,82.98,scattered clouds,5.4033,125.4636,Ballistic Islet
213,Kavieng,PG,84.29,light rain,-2.5744,150.7967,Nusa Island Retreat
215,Dicabisagan,PH,84.29,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
218,Biak,ID,84.74,overcast clouds,-0.9131,122.8766,Penginapan Kim
219,Lorengau,PG,84.94,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
220,Harper,LR,79.05,moderate rain,4.375,-7.7169,Screensaver
222,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
227,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
232,Nishihara,JP,78.46,broken clouds,26.1842,127.7558,Minshuku Agaihama
238,Quatre Cocos,MU,77.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
248,Tank,PK,85.77,scattered clouds,32.2217,70.3793,Gula Jan Abdulai
253,Mutis,CO,78.39,moderate rain,6.2262,-77.4044,Paraiso Escondido
257,Gurupi,BR,75.33,scattered clouds,-11.7292,-49.0686,Via Norte Hotel
259,Porto Novo,BJ,78.37,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
268,Liuzhou,CN,79.09,scattered clouds,24.3126,109.3892,Linjiang Inn
269,Nakamura,JP,77.13,overcast clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
277,Baturaja,ID,86.31,scattered clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
279,Puerto Vallarta,MX,75.9,few clouds,20.6204,-105.2307,Sunset Plaza Beach Resort & Spa
280,Samana,DO,75.4,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
282,Carutapera,BR,76.28,overcast clouds,-1.195,-46.02,Lidera
286,Tecoanapa,MX,80.89,overcast clouds,16.5167,-98.75,Hotel Manglares
293,Sinnamary,GF,77.45,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
295,Mayumba,GA,76.33,light rain,-3.432,10.6554,LIKWALE LODGE
297,Dwarka,IN,80.92,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
298,Oriximina,BR,75.0,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
299,Sorong,ID,84.97,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
302,Manggar,ID,86.45,few clouds,-2.8833,108.2667,Guest Hotel
304,Dingle,PH,77.0,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
315,Mareeba,AU,85.44,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
317,Caucaia,BR,82.04,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
318,Buala,SB,85.84,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
330,Wanning,CN,84.18,clear sky,18.8003,110.3967,Paradise Hotel
331,Saint-Pierre,RE,76.91,few clouds,-21.3393,55.4781,Lindsey Hôtel
332,Maragogi,BR,77.36,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
335,Fare,PF,82.4,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
337,Kadoma,JP,78.6,overcast clouds,34.7333,135.5833,Hotel Agora Osaka Moriguchi
340,Axim,GH,80.11,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
343,Tufanganj,IN,81.82,moderate rain,26.3167,89.6667,Hotel bangaleeana
346,Iracoubo,GF,77.7,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
348,Fuzhou,CN,75.09,clear sky,26.0614,119.3061,Shangri La Hotel Fuzhou
350,Samarai,PG,84.56,overcast clouds,-10.6167,150.6667,Nuli Sapi
353,Sampit,ID,85.37,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
362,Luwuk,ID,87.53,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
