City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,63.12,90,99,3.31,overcast clouds
1,Puerto Ayora,EC,-0.7393,-90.3518,76.77,88,92,5.77,overcast clouds
2,Ozieri,IT,40.586,9.0012,46.76,96,100,5.1,overcast clouds
3,Saint-Joseph,RE,-21.3667,55.6167,75.58,84,83,16.02,light rain
4,Sonoita,MX,31.85,-112.8333,61.38,11,0,11.16,clear sky
5,Hilo,US,19.7297,-155.09,79.29,86,100,4.61,heavy intensity rain
6,Kipushi,CD,-11.7667,27.2333,59.09,99,22,3.85,few clouds
7,Kalmunai,LK,7.4167,81.8167,82.44,75,92,5.53,light rain
8,Maturin,VE,9.75,-63.1767,75.24,80,6,7.34,clear sky
9,Rikitea,PF,-23.1203,-134.9692,79.34,70,13,20.76,light rain
10,Haines Junction,CA,60.7522,-137.5108,31.95,21,5,3.44,clear sky
11,Ushuaia,AR,-54.8,-68.3,37.06,87,75,19.57,light intensity drizzle
12,Victoria,HK,22.2855,114.1577,83.17,84,11,8.01,few clouds
13,Khatanga,RU,71.9667,102.5,12.15,84,100,12.28,overcast clouds
14,Nikolskoye,RU,59.7035,30.7861,32.81,95,7,2.62,clear sky
15,Hofn,IS,64.2539,-15.2082,36.28,79,82,16.64,broken clouds
16,Tasiilaq,GL,65.6145,-37.6368,26.76,87,100,7.05,light snow
17,Castro,BR,-24.7911,-50.0119,62.37,97,94,2.8,overcast clouds
18,Cape Town,ZA,-33.9258,18.4232,62.11,94,93,8.01,overcast clouds
19,New Norfolk,AU,-42.7826,147.0587,69.93,43,12,7.0,few clouds
20,Shiyan,CN,32.6475,110.7781,64.42,64,90,4.43,overcast clouds
21,Kasongo-Lunda,CD,-6.4667,16.8167,69.28,96,100,1.43,overcast clouds
22,Havoysund,NO,70.9963,24.6622,30.43,68,99,10.96,light snow
23,Zheleznogorsk-Ilimskiy,RU,56.5768,104.1217,33.76,74,55,3.67,broken clouds
24,Butaritari,KI,3.0707,172.7902,81.9,76,74,14.23,broken clouds
25,Montepuez,MZ,-13.1256,38.9997,66.79,99,76,3.58,broken clouds
26,Minsk Mazowiecki,PL,52.1794,21.5725,39.43,68,100,4.45,overcast clouds
27,Adrar,MR,20.5022,-10.0711,74.97,18,88,12.55,overcast clouds
28,Busselton,AU,-33.65,115.3333,69.51,44,0,9.51,clear sky
29,Saint George,US,37.1041,-113.5841,52.39,13,0,5.75,clear sky
30,Udachnyy,RU,66.4167,112.4,23.45,73,100,8.03,overcast clouds
31,Kapaa,US,22.0752,-159.319,80.58,81,75,12.66,broken clouds
32,Hoquiam,US,46.9809,-123.8893,40.93,87,84,5.01,broken clouds
33,Tigzirt,DZ,36.8886,4.1198,57.94,93,100,7.96,overcast clouds
34,Georgetown,MY,5.4112,100.3354,87.73,74,20,0.0,haze
35,Alta Floresta,BR,-9.8756,-56.0861,71.37,97,39,2.71,scattered clouds
36,Ponta Do Sol,PT,32.6667,-17.1,66.0,78,97,3.65,overcast clouds
37,Lompoc,US,34.6391,-120.4579,51.6,66,0,23.02,haze
38,Sorland,NO,67.667,12.6934,36.05,93,100,7.4,overcast clouds
39,Atuona,PF,-9.8,-139.0333,79.41,80,19,17.58,light rain
40,Hailar,CN,49.2,119.7,42.3,25,32,7.09,scattered clouds
41,Kodiak,US,57.79,-152.4072,40.51,65,40,11.5,scattered clouds
42,Iskateley,RU,67.6803,53.1512,24.69,92,97,7.34,overcast clouds
43,Anadyr,RU,64.75,177.4833,27.1,80,100,22.37,light snow
44,Monte Carmelo,BR,-18.7247,-47.4986,68.23,86,56,2.71,broken clouds
45,Longyearbyen,SJ,78.2186,15.6401,17.44,79,75,0.0,light snow
46,Bredasdorp,ZA,-34.5322,20.0403,62.8,86,100,5.48,overcast clouds
47,Jamestown,US,42.097,-79.2353,53.24,48,0,4.61,clear sky
48,Sainte-Suzanne,RE,-20.9061,55.6089,77.47,77,75,13.8,light rain
49,Kodinsk,RU,58.6881,99.1844,36.36,67,69,1.7,broken clouds
50,Sioux Lookout,CA,50.1001,-91.917,28.78,92,100,5.23,overcast clouds
51,Punta Arenas,CL,-53.15,-70.9167,42.12,70,33,20.13,scattered clouds
52,Port Alfred,ZA,-33.5906,26.891,64.18,96,96,6.15,overcast clouds
53,Pevek,RU,69.7008,170.3133,1.99,74,100,1.81,overcast clouds
54,Albany,US,42.6001,-73.9662,51.64,43,82,4.9,broken clouds
55,Mecca,SA,21.4267,39.8261,78.76,37,41,2.68,scattered clouds
56,Mananjary,MG,-21.2167,48.3333,70.39,91,34,4.25,light rain
57,Tuktoyaktuk,CA,69.4541,-133.0374,19.31,90,87,9.98,overcast clouds
58,Sao Filipe,CV,14.8961,-24.4956,70.3,76,100,10.36,overcast clouds
59,Bethel,US,41.3712,-73.414,56.89,68,0,3.44,clear sky
60,Ulaangom,MN,49.9811,92.0667,35.29,54,98,6.67,overcast clouds
61,Alto Araguaia,BR,-17.3147,-53.2153,70.48,77,2,0.85,clear sky
62,Bandipur,NP,27.9333,84.4167,77.02,47,83,2.06,broken clouds
63,Chuy,UY,-33.6971,-53.4616,57.49,77,10,1.74,clear sky
64,Lebu,CL,-37.6167,-73.65,49.33,83,2,15.88,clear sky
65,Ancud,CL,-41.8697,-73.8203,48.6,84,100,1.03,overcast clouds
66,Durusu,TR,41.3053,28.6767,42.98,89,0,5.01,clear sky
67,Arraial Do Cabo,BR,-22.9661,-42.0278,76.53,87,69,18.34,broken clouds
68,Bukama,CD,-9.2,25.85,67.24,95,72,1.7,broken clouds
69,Grindavik,IS,63.8424,-22.4338,36.07,80,0,6.91,clear sky
70,Mastic Beach,US,40.7668,-72.8521,57.54,77,0,5.01,clear sky
71,Aklavik,CA,68.2191,-135.0107,26.74,90,72,6.33,broken clouds
72,Bubaque,GW,11.2833,-15.8333,74.17,75,99,7.52,overcast clouds
73,Salinas,US,36.6777,-121.6555,52.41,69,1,8.19,clear sky
74,Batagay-Alyta,RU,67.8006,130.4114,7.66,82,100,3.42,overcast clouds
75,Barrow,US,71.2906,-156.7887,1.42,71,0,8.05,clear sky
76,Aleksandrovskiy Zavod,RU,50.9237,117.9374,37.53,33,15,7.7,few clouds
77,Kavaratti,IN,10.5669,72.642,85.14,69,100,5.95,very heavy rain
78,Talnakh,RU,69.4865,88.3972,34.21,99,100,4.83,light snow
79,San Cristobal,VE,7.7669,-72.225,73.58,87,68,1.97,broken clouds
80,Port Elizabeth,ZA,-33.918,25.5701,62.31,98,25,6.6,scattered clouds
81,Bambous Virieux,MU,-20.3428,57.7575,77.22,81,69,19.17,light rain
82,Ahipara,NZ,-35.1667,173.1667,66.94,67,100,14.81,overcast clouds
83,Bluff,NZ,-46.6,168.3333,55.71,58,35,9.78,scattered clouds
84,Vaitape,PF,-16.5167,-151.75,82.6,71,14,13.31,few clouds
85,Whyalla,AU,-33.0333,137.5833,78.96,37,23,4.32,few clouds
86,Alofi,NU,-19.0595,-169.9187,84.09,70,40,2.3,scattered clouds
87,Bone,DE,51.9669,12.1396,43.83,73,99,7.87,overcast clouds
88,San Patricio,US,28.017,-97.5169,76.89,88,5,21.32,clear sky
89,Ilulissat,GL,69.2167,-51.1,19.42,73,98,3.44,overcast clouds
90,Faanui,PF,-16.4833,-151.75,82.58,71,15,13.27,few clouds
91,Clyde River,CA,70.4692,-68.5914,-6.84,98,88,5.55,overcast clouds
92,Geraldton,AU,-28.7667,114.6,72.01,53,0,12.66,clear sky
93,Vaini,TO,-21.2,-175.2,84.36,74,20,6.91,few clouds
94,Tukrah,LY,32.5341,20.5791,57.61,59,95,7.81,overcast clouds
95,Cidreira,BR,-30.1811,-50.2056,70.07,90,48,7.43,scattered clouds
96,George Town,MY,5.4112,100.3354,87.73,74,20,0.0,haze
97,Puerto El Triunfo,SV,13.2833,-88.55,82.72,71,98,6.31,overcast clouds
98,Panaba,MX,21.2833,-88.2667,77.11,77,6,12.28,clear sky
99,Isangel,VU,-19.55,169.2667,86.11,84,20,4.61,few clouds
100,Yeppoon,AU,-23.1333,150.7333,85.78,62,19,13.42,few clouds
101,Lasa,IT,46.6166,10.7002,39.36,81,99,1.5,overcast clouds
102,Cruzeiro Do Sul,BR,-29.5128,-51.9853,71.53,91,58,2.64,broken clouds
103,Luanda,AO,-8.8368,13.2343,76.46,91,100,6.76,overcast clouds
104,Finschhafen,PG,-6.6024,147.8681,85.64,68,81,5.41,broken clouds
105,Emerald,AU,-23.5333,148.1667,87.35,40,30,7.0,scattered clouds
106,Cherskiy,RU,68.75,161.3,10.44,73,100,3.49,overcast clouds
107,Sovetskiy,RU,61.3614,63.5842,35.64,88,99,5.66,overcast clouds
108,Port Hardy,CA,50.6996,-127.4199,41.61,50,100,13.0,overcast clouds
109,Upernavik,GL,72.7868,-56.1549,4.48,97,100,9.48,overcast clouds
110,Yellowknife,CA,62.456,-114.3525,-0.99,93,85,4.94,overcast clouds
111,Laela,TZ,-8.5667,32.05,57.38,97,97,3.33,overcast clouds
112,Chapais,CA,49.7834,-74.8492,28.27,92,16,3.98,few clouds
113,Back Mountain,US,41.3359,-75.9963,51.08,83,34,1.99,scattered clouds
114,Grand Gaube,MU,-20.0064,57.6608,77.38,86,21,5.01,few clouds
115,Sidney,AU,-33.8679,151.2073,71.58,76,75,19.57,light rain
116,Nyurba,RU,63.2842,118.3319,28.65,83,100,4.34,overcast clouds
117,Henties Bay,NA,-22.116,14.2845,62.71,78,98,8.61,overcast clouds
118,Hithadhoo,MV,-0.6,73.0833,83.55,70,5,12.28,clear sky
119,Avaton,GR,40.9667,24.8,50.94,70,0,3.24,clear sky
120,Tateyama,JP,34.9833,139.8667,66.43,90,97,11.45,overcast clouds
121,Tournefeuille,FR,43.5887,1.3192,54.99,91,100,16.11,overcast clouds
122,Husavik,IS,66.0449,-17.3389,27.91,86,78,9.4,broken clouds
123,Road Town,VG,18.4167,-64.6167,75.29,69,1,22.21,clear sky
124,Constitucion,CL,-35.3333,-72.4167,54.59,48,0,6.53,clear sky
